location	habitat_type	community	isolate	OD_transferrin	ODrel_transferrin	PVD_transferrin	PVDrel_transferrin	OD_FeCl3	ODrel_FeCl3	OD_dpd	ODrel_dpd	PVDbyOD_tr	PVD_dpd	PVDrel_dpd
Irchel	pond	F	3F11	0.1918	0.9693	15569.0	0.5612	0.3819	0.5165	0.4081	1.2876	81331.0	12384.3	0.5285
Irchel	pond	F	3F12	0.1440	0.7278	25159.3	0.9069	0.7638	1.0330	0.0508	0.1603	174719.9	6052.0	0.2583
Irchel	pond	F	3F14	0.1207	0.6097	16996.7	0.6127	0.5447	0.7368	0.4200	1.3251	144250.1	12905.3	0.5508
Irchel	pond	F	3F15	0.1870	0.9449	20591.7	0.7423	0.7581	1.0254	0.1435	0.4528	114332.9	4863.0	0.2075
Irchel	pond	F	3F16	0.2163	1.0931	29504.3	1.0636	0.5283	0.7146	0.3200	1.0097	158573.8	16529.7	0.7054
Irchel	pond	F	3F17	0.2005	1.0133	25891.3	0.9333	0.7781	1.0524	0.2092	0.6600	133461.7	14489.7	0.6184
Irchel	pond	F	3F18	0.1242	0.6278	15918.0	0.5738	0.5619	0.7600	0.4274	1.3487	128479.8	10730.7	0.4580
Irchel	pond	F	3F19	0.1006	0.5083	17382.3	0.6266	0.7538	1.0195	0.0429	0.1353	187428.2	810.3	0.0346
Irchel	pond	F	3F20	0.2505	1.2660	20900.0	0.7534	0.6862	0.9282	0.3247	1.0246	83726.2	12349.3	0.5270
Irchel	pond	G	3G1	0.2267	1.3673	39653.4	1.3476	0.6165	0.8327	0.1987	0.8739	175454.3	32183.3	1.2445
Irchel	pond	G	3G2	0.0923	0.5566	13152.4	0.4470	0.2758	0.3725	0.0155	0.0683	142904.2	4129.0	0.1597
Irchel	pond	G	3G3	0.3648	2.2004	30984.1	1.0530	0.7557	1.0206	0.1951	0.8579	85203.5	23020.0	0.8902
Irchel	pond	G	3G4	0.1320	0.7964	24504.4	0.8328	0.5356	0.7235	0.0772	0.3396	185792.9	22643.0	0.8756
Irchel	pond	G	3G5	0.1841	1.1105	16240.7	0.5519	0.5448	0.7358	0.1850	0.8138	88424.8	10796.7	0.4175
Irchel	pond	G	3G6	0.3389	2.0442	35517.4	1.2071	0.3654	0.4936	0.0513	0.2256	107264.8	11589.3	0.4482
Irchel	pond	G	3G7	0.1439	0.8678	41725.4	1.4181	0.8309	1.1223	0.1083	0.4763	291061.0	37283.3	1.4417
Irchel	pond	G	3G8	0.1351	0.8149	39652.7	1.3476	0.7113	0.9608	0.1316	0.5788	294979.5	23086.3	0.8927
Irchel	pond	G	3G9	0.2526	1.5236	15212.1	0.5170	0.4706	0.6356	0.2217	0.9751	60232.4	18933.7	0.7322
Irchel	pond	G	3G10	0.1282	0.7735	7173.4	0.2438	0.6312	0.8525	0.0142	0.0623	56267.4	113.7	0.0044
Irchel	pond	G	3G11	0.0913	0.5507	4903.4	0.1666	0.2846	0.3844	0.0276	0.1212	53914.1	4.0	0.0002
Irchel	pond	G	3G12	0.3085	1.8610	23230.7	0.7895	0.6901	0.9321	0.1649	0.7251	77927.0	19971.3	0.7723
Irchel	pond	G	3G13	0.1613	0.9728	31334.4	1.0649	0.6736	0.9098	0.0363	0.1598	194949.3	4914.7	0.1900
Irchel	pond	G	3G14	0.0998	0.6022	39683.7	1.3487	0.5340	0.7213	0.0820	0.3605	398045.8	30236.0	1.1692
Irchel	pond	G	3G15	0.1673	1.0090	22436.7	0.7625	0.8617	1.1639	0.1808	0.7952	135481.5	24460.7	0.9459
Irchel	pond	G	3G16	0.1619	0.9768	23807.7	0.8091	0.3371	0.4553	0.0366	0.1611	161034.8	2921.7	0.1130
Irchel	pond	G	3G17	0.3098	1.8686	30390.4	1.0328	0.7766	1.0490	0.2546	1.1199	99481.2	27269.3	1.0545
Irchel	pond	G	3G18	0.1155	0.6965	16264.4	0.5528	0.5850	0.7902	0.0360	0.1581	141432.5	8673.0	0.3354
Irchel	pond	G	3G19	0.1589	0.9585	21347.4	0.7255	0.2228	0.3010	0.0422	0.1857	134297.9	2965.7	0.1147
Irchel	pond	G	3G20	0.1037	0.6257	39475.1	1.3416	0.4030	0.5444	0.0188	0.0825	381144.1	5821.3	0.2251
Irchel	pond	H	3H1	0.2052	1.1491	18105.7	0.6181	0.5412	0.7415	0.2241	0.6965	105319.1	12500.0	0.5072
Irchel	pond	H	3H2	0.0650	0.3642	4348.4	0.1484	0.1753	0.2402	0.0063	0.0195	69737.3	2.7	0.0001
Irchel	pond	H	3H3	0.1008	0.5643	1.5	0.0001	0.5407	0.7409	0.0317	0.0985	13.5	7.7	0.0003
Irchel	pond	H	3H4	0.1325	0.7423	20413.4	0.6969	0.4709	0.6452	0.2852	0.8863	154127.6	14473.3	0.5873
Irchel	pond	H	3H5	0.1064	0.5959	9583.4	0.3272	0.6646	0.9107	0.0287	0.0892	91054.4	19.7	0.0008
Irchel	pond	H	3H6	0.1150	0.6441	41855.4	1.4289	0.6322	0.8662	0.0095	0.0294	366483.5	1835.0	0.0745
Irchel	pond	H	3H7	0.1430	0.8007	21146.7	0.7219	0.5584	0.7651	0.2188	0.6800	147964.1	14864.3	0.6031
Irchel	pond	H	3H9	0.2980	1.6691	31620.4	1.0795	0.7255	0.9941	0.3246	1.0089	108364.6	16781.3	0.6809
Irchel	pond	H	3H10	0.0684	0.3832	11079.4	0.3782	0.3665	0.5022	0.2139	0.6649	161354.3	2446.7	0.0993
Irchel	pond	H	3H11	0.4136	2.3168	29433.4	1.0048	0.7142	0.9786	0.2633	0.8182	71280.3	18437.0	0.7481
Irchel	pond	H	3H12	0.1174	0.6573	12727.1	0.4345	0.4138	0.5670	0.0079	0.0246	108898.6	10.0	0.0004
Irchel	pond	H	3H13	0.1989	1.1138	25066.1	0.8557	0.5870	0.8044	0.0186	0.0577	126338.1	14.0	0.0006
Irchel	pond	H	3H14	0.1065	0.5963	20215.7	0.6901	0.5517	0.7560	0.0247	0.0769	190398.9	76.3	0.0031
Irchel	pond	H	3H15	0.1058	0.5925	20063.7	0.6849	0.7140	0.9783	0.0071	0.0221	189956.1	85.0	0.0034
Irchel	pond	H	3H16	0.0631	0.3534	17191.7	0.5869	0.1527	0.2092	0.0434	0.1350	273188.6	1043.3	0.0423
Irchel	pond	H	3H17	0.1036	0.5800	19268.4	0.6578	0.6406	0.8778	0.0039	0.0122	194528.0	66.0	0.0027
